127.0.0.1 - - [10/Jun/2019:17:36:30 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:36:31 +0900] "GET /jdbc11/ HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:36:31 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:37:24 +0900] "GET /jdbc11/viewMemberList.jsp HTTP/1.1" 500 3288
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:37:38 +0900] "GET /jdbc11/viewMemberList.jsp HTTP/1.1" 500 3288
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:37:39 +0900] "GET /jdbc11/viewMemberList.jsp HTTP/1.1" 500 2607
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:37:39 +0900] "GET /jdbc11/viewMemberList.jsp HTTP/1.1" 500 2607
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:37:39 +0900] "GET /jdbc11/viewMemberList.jsp HTTP/1.1" 500 2607
0:0:0:0:0:0:0:1 - - [10/Jun/2019:17:37:40 +0900] "GET /jdbc11/viewMemberList.jsp HTTP/1.1" 500 2607
